timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
00:00:00;;;;;
00:00:01;;;;;
00:00:02;;;;;
00:00:03;;;;;
00:00:04;;;;;
00:00:05;;;;;
00:00:06;;;;;
00:00:07;;;;;
00:00:08;-31265883#2;-31265883#2_0;veh1;5.10;14.72
00:00:09;-31265883#2;-31265883#2_0;veh1;19.41;14.31
00:00:10;-31265883#2;-31265883#2_0;veh1;33.97;14.56
00:00:11;-31265883#2;-31265883#2_0;veh1;48.27;14.30
00:00:12;-31265883#2;-31265883#2_0;veh1;61.79;13.52
00:00:13;-31265883#2;-31265883#2_0;veh1;75.30;13.52
00:00:14;-31265883#2;-31265883#2_0;veh1;89.47;14.17
00:00:15;-31265883#2;-31265883#2_0;veh1;103.79;14.32
00:00:16;-31265883#2;-31265883#2_0;veh1;118.01;14.22
00:00:16;24496169;24496169_0;veh2;5.10;7.82
00:00:17;-31265883#1;-31265883#1_0;veh1;4.88;14.51
00:00:17;24496169;24496169_0;veh2;12.08;6.98
00:00:18;-31265883#1;-31265883#1_0;veh1;18.51;13.64
00:00:18;24496169;24496169_0;veh2;19.77;7.69
00:00:19;-31265883#1;-31265883#1_0;veh1;31.88;13.37
00:00:19;24496169;24496169_0;veh2;26.94;7.17
00:00:20;-31265883#1;-31265883#1_0;veh1;41.16;9.28
00:00:20;24496169;24496169_0;veh2;34.59;7.65
00:00:21;-31265883#1;-31265883#1_0;veh1;45.94;4.78
00:00:21;24496169;24496169_0;veh2;41.23;6.64
00:00:22;:cluster_347685661_6691234132_3;:cluster_347685661_6691234132_3_0;veh1;5.68;6.51
00:00:22;24496169;24496169_0;veh2;47.86;6.63
00:00:23;-24496221#8;-24496221#8_0;veh1;0.20;8.15
00:00:23;24496169;24496169_0;veh2;54.58;6.72
00:00:24;-24496221#8;-24496221#8_0;veh1;10.56;10.36
00:00:24;24496169;24496169_0;veh2;62.26;7.68
00:00:25;-24496221#8;-24496221#8_0;veh1;23.22;12.66
00:00:25;24496169;24496169_0;veh2;69.31;7.05
00:00:26;-24496221#6;-24496221#6_0;veh1;3.57;15.06
00:00:26;24496169;24496169_0;veh2;77.12;7.81
00:00:27;-24496221#6;-24496221#6_0;veh1;20.75;17.18
00:00:27;24496169;24496169_0;veh2;84.53;7.41
00:00:28;-24496221#6;-24496221#6_0;veh1;39.70;18.95
00:00:28;24496169;24496169_0;veh2;91.34;6.81
00:00:29;-24496221#6;-24496221#6_0;veh1;60.98;21.28
00:00:29;24496169;24496169_0;veh2;98.18;6.83
00:00:30;:260689798_0;:260689798_0_0;veh2;0.10;7.78
00:00:30;-24496221#6;-24496221#6_0;veh1;84.51;23.53
00:00:31;:260689798_0;:260689798_0_0;veh2;9.87;9.77
00:00:31;-24496221#6;-24496221#6_0;veh1;107.29;22.77
00:00:32;:260689797_1;:260689797_1_0;veh2;5.94;11.21
00:00:32;:5151323628_7;:5151323628_7_0;veh1;8.45;23.15
00:00:32;-24496221#8;-24496221#8_0;veh4;5.10;0.00
00:00:33;-24496221#4;-24496221#4_0;veh1;17.42;23.37
00:00:33;-24496221#8;-24496221#8_0;veh4;6.79;1.69
00:00:33;24496210#0;24496210#0_0;veh2;5.21;13.46
00:00:34;-24496221#4;-24496221#4_0;veh1;40.26;22.84
00:00:34;-24496221#8;-24496221#8_0;veh4;10.19;3.40
00:00:34;24496210#1;24496210#1_0;veh2;3.10;14.85
00:00:35;-24496221#4;-24496221#4_0;veh1;63.55;23.29
00:00:35;-24496221#8;-24496221#8_0;veh4;15.33;5.14
00:00:35;24496210#1;24496210#1_0;veh2;19.94;16.84
00:00:36;-24496221#8;-24496221#8_0;veh4;22.46;7.14
00:00:36;24037262;24037262_0;veh2;7.75;18.69
00:00:37;-24496221#8;-24496221#8_0;veh4;27.05;4.59
00:00:37;24037262;24037262_0;veh2;28.02;20.27
00:00:38;-24496221#8;-24496221#8_0;veh4;27.92;0.87
00:00:38;24037262;24037262_0;veh2;50.66;22.65
00:00:39;-24496221#8;-24496221#8_0;veh4;28.29;0.37
00:00:39;24037262;24037262_0;veh2;74.92;24.26
00:00:40;:10574570420_1;:10574570420_1_0;veh4;1.34;2.69
00:00:40;24037262;24037262_0;veh2;100.64;25.72
00:00:41;-24496221#6;-24496221#6_0;veh4;1.11;4.84
00:00:41;24037262;24037262_0;veh2;126.31;25.68
00:00:42;-24496221#6;-24496221#6_0;veh4;7.62;6.51
00:00:42;665481281#0;665481281#0_0;veh2;21.36;25.61
00:00:43;-24496221#6;-24496221#6_0;veh4;15.50;7.89
00:00:43;665481281#0;665481281#0_0;veh2;46.56;25.19
00:00:44;-24496221#6;-24496221#6_0;veh4;25.99;10.48
00:00:44;665481281#1;665481281#1_0;veh2;6.56;24.97
00:00:45;-24496221#6;-24496221#6_0;veh4;38.14;12.15
00:00:45;665481281#1;665481281#1_0;veh2;31.90;25.35
00:00:46;:cluster_6228739318_6228739324_6228760750_4;:cluster_6228739318_6228739324_6228760750_4_0;veh2;22.12;25.41
00:00:46;-24496221#6;-24496221#6_0;veh4;52.27;14.13
00:00:47;-24496221#6;-24496221#6_0;veh4;68.59;16.32
00:00:47;829324436;829324436_0;veh2;0.96;24.92
00:00:48;-24496221#6;-24496221#6_0;veh4;87.19;18.60
00:00:48;-24496221#9;-24496221#9_0;veh6;5.10;0.00
00:00:48;829324436;829324436_0;veh2;26.77;25.81
00:00:49;:2655662616_1;:2655662616_1_0;veh2;1.16;24.91
00:00:49;-24496221#6;-24496221#6_0;veh4;107.72;20.53
00:00:49;-24496221#9;-24496221#9_0;veh6;7.48;2.38
00:00:50;:5151323628_7;:5151323628_7_0;veh4;7.41;21.68
00:00:50;-24496221#9;-24496221#9_0;veh6;11.74;4.27
00:00:50;829324432#1;829324432#1_0;veh2;1.28;25.89
00:00:51;-24496221#4;-24496221#4_0;veh4;15.30;22.28
00:00:51;-24496221#9;-24496221#9_0;veh6;18.08;6.34
00:00:51;665481280;665481280_0;veh2;3.20;25.71
00:00:52;-24496221#4;-24496221#4_0;veh4;36.54;21.24
00:00:52;-24496221#9;-24496221#9_0;veh6;25.92;7.84
